From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Asad Gate,Azimpur,5.1,12,,,,,,,,,,,,,,,
Asad Gate,BUET,5.8,14,,,,,,,,,,,,,,,
Asad Gate,Babubazar Bridge,9.7,24,,,,,,,,,,,,,,,
Asad Gate,Bandura,44.8,110,,,,,,,,,,,,,,,
Asad Gate,Bangla Motor,3.3,10,,,,,,,,,,,,,,,
Asad Gate,Bangladesh Bank,7.6,19,,,,,,,,,,,,,,,
Asad Gate,Bashabo,12,29,,,,,,,,,,,,,,,
Asad Gate,Bashundhara,10.6,26,,,,,,,,,,,,,,,
Asad Gate,Bejgaon Chowrasta,34.3,84,,,,,,,,,,,,,,,
Asad Gate,Bosila,4.3,11,,,,,,,,,,,,,,,
Asad Gate,Bosila Bridge,3,10,,,,,,,,,,,,,,,
Asad Gate,Bosila CNG Stand,1.83,10,,,,,,,,,,,,,,,
Asad Gate,Chankhar Pul,8.7,21,,,,,,,,,,,,,,,
Asad Gate,Chun Kutia,10.8,26,,,,,,,,,,,,,,,
Asad Gate,Dayaganj,9.1,22,,,,,,,,,,,,,,,
Asad Gate,Demra Staff Quarter,16.71,41,,,,,,,,,,,,,,,
Asad Gate,Dhamrai,34,83,,,,,,,,,,,,,,,
Asad Gate,Dhour,21.1,52,,,,,,,,,,,,,,,
Asad Gate,Diabari Beribadh,7.8,19,,,,,,,,,,,,,,,
Asad Gate,EPZ,32.1,79,,,,,,,,,,,,,,,
Asad Gate,Fakirapul,6.5,16,,,,,,,,,,,,,,,
Asad Gate,Farmgate,2,10,,,,,,,,,,,,,,,
Asad Gate,GPO,7.8,19,,,,,,,,,,,,,,,
Asad Gate,Gabtoli,4.4,11,,,,,,,,,,,,,,,
Asad Gate,Ghatar Char,3.66,10,,,,,,,,,,,,,,,
Asad Gate,Golap Shah Mazar,6.4,16,,,,,,,,,,,,,,,
Asad Gate,Gulistan,6.8,17,,,,,,,,,,,,,,,
Asad Gate,Gulshan 1,6.4,16,,,,,,,,,,,,,,,
Asad Gate,House Building,18.1,44,,,,,,,,,,,,,,,
Asad Gate,Ittefaq Moor,10,25,,,,,,,,,,,,,,,
Asad Gate,Jatrabari,12.4,30,,,,,,,,,,,,,,,
Asad Gate,Kadamtali,14.1,35,,,,,,,,,,,,,,,
